0	of_type	burner stabilized flame speciation measurement
0	of_reactor	flame
0	has_author	Author 34
0	of_year	2007
0	of_target	H2
0	has_similarity	S_1.0
0	has_uncertainty	U_1.0
1	of_type	jet stirred reactor measurement
1	of_reactor	flow reactor
1	has_author	Author 11
1	of_year	1961
1	of_target	NH3
1	has_similarity	S_0.5
1	has_uncertainty	U_0.5
2	of_type	outlet concentration measurement
2	of_reactor	stirred reactor
2	has_author	Author 81
2	of_year	1990
2	of_target	CH3
2	has_similarity	S_1.0
2	has_uncertainty	U_1.0
3	of_type	ignition delay measurement
3	of_reactor	rapid compression machine
3	has_author	Author 54
3	of_year	1977
3	of_target	CO2
3	has_similarity	S_0.9
3	has_uncertainty	U_0.9
4	of_type	laminar burning velocity measurement
4	of_reactor	flame
4	has_author	Author 94
4	of_year	1975
4	of_target	H20
4	has_similarity	S_0.2
4	has_uncertainty	U_0.2
5	of_type	outlet concentration measurement
5	of_reactor	stirred reactor
5	has_author	Author 36
5	of_year	2012
5	of_target	IDT
5	has_similarity	S_0.3
5	has_uncertainty	U_0.3
6	of_type	burner stabilized flame speciation measurement
6	of_reactor	flame
6	has_author	Author 35
6	of_year	1967
6	of_target	C0
6	has_similarity	S_0.3
6	has_uncertainty	U_0.3
7	of_type	concentration time profile measurement
7	of_reactor	shock tube
7	has_author	Author 37
7	of_year	2012
7	of_target	C7H8
7	has_similarity	S_0.0
7	has_uncertainty	U_0.0
8	of_type	jet stirred reactor measurement
8	of_reactor	shock tube
8	has_author	Author 31
8	of_year	2004
8	of_target	IDT
8	has_similarity	S_0.7
8	has_uncertainty	U_0.7
9	of_type	laminar burning velocity measurement
9	of_reactor	flame
9	has_author	Author 76
9	of_year	2003
9	of_target	IDT
9	has_similarity	S_0.1
9	has_uncertainty	U_0.1
10	of_type	outlet concentration measurement
10	of_reactor	shock tube
10	has_author	Author 22
10	of_year	1955
10	of_target	H2S
10	has_similarity	S_0.9
10	has_uncertainty	U_0.9
11	of_type	jet stirred reactor measurement
11	of_reactor	shock tube
11	has_author	Author 84
11	of_year	1954
11	of_target	CO2
11	has_similarity	S_0.8
11	has_uncertainty	U_0.8
12	of_type	ignition delay measurement
12	of_reactor	shock tube
12	has_author	Author 16
12	of_year	2008
12	of_target	C5H6
12	has_similarity	S_0.8
12	has_uncertainty	U_0.8
13	of_type	concentration time profile measurement
13	of_reactor	stirred reactor
13	has_author	Author 12
13	of_year	1985
13	of_target	H20
13	has_similarity	S_0.3
13	has_uncertainty	U_0.3
14	of_type	concentration time profile measurement
14	of_reactor	flow reactor
14	has_author	Author 98
14	of_year	1958
14	of_target	CH4
14	has_similarity	S_0.4
14	has_uncertainty	U_0.4
15	of_type	laminar burning velocity measurement
15	of_reactor	flame
15	has_author	Author 86
15	of_year	1981
15	of_target	CH4
15	has_similarity	S_0.3
15	has_uncertainty	U_0.3
16	of_type	jet stirred reactor measurement
16	of_reactor	stirred reactor
16	has_author	Author 51
16	of_year	1957
16	of_target	H20
16	has_similarity	S_0.3
16	has_uncertainty	U_0.3
17	of_type	laminar burning velocity measurement
17	of_reactor	flame
17	has_author	Author 79
17	of_year	2029
17	of_target	H2S
17	has_similarity	S_0.2
17	has_uncertainty	U_0.2
18	of_type	jet stirred reactor measurement
18	of_reactor	shock tube
18	has_author	Author 5
18	of_year	2003
18	of_target	NH3
18	has_similarity	S_0.6
18	has_uncertainty	U_0.6
19	of_type	burner stabilized flame speciation measurement
19	of_reactor	flame
19	has_author	Author 61
19	of_year	1960
19	of_target	CO2
19	has_similarity	S_0.0
19	has_uncertainty	U_0.0
20	of_type	outlet concentration measurement
20	of_reactor	flow reactor
20	has_author	Author 6
20	of_year	1958
20	of_target	CO2
20	has_similarity	S_0.5
20	has_uncertainty	U_0.5
21	of_type	laminar burning velocity measurement
21	of_reactor	flame
21	has_author	Author 24
21	of_year	1975
21	of_target	CO2
21	has_similarity	S_0.8
21	has_uncertainty	U_0.8
22	of_type	concentration time profile measurement
22	of_reactor	stirred reactor
22	has_author	Author 27
22	of_year	1987
22	of_target	C6H6
22	has_similarity	S_0.4
22	has_uncertainty	U_0.4
23	of_type	concentration time profile measurement
23	of_reactor	flow reactor
23	has_author	Author 8
23	of_year	2019
23	of_target	C7H8
23	has_similarity	S_0.3
23	has_uncertainty	U_0.3
24	of_type	burner stabilized flame speciation measurement
24	of_reactor	flame
24	has_author	Author 35
24	of_year	1963
24	of_target	CH4
24	has_similarity	S_0.2
24	has_uncertainty	U_0.2
25	of_type	outlet concentration measurement
25	of_reactor	shock tube
25	has_author	Author 15
25	of_year	2003
25	of_target	C0
25	has_similarity	S_0.6
25	has_uncertainty	U_0.6
26	of_type	ignition delay measurement
26	of_reactor	rapid compression machine
26	has_author	Author 65
26	of_year	1983
26	of_target	CH4
26	has_similarity	S_0.4
26	has_uncertainty	U_0.4
27	of_type	jet stirred reactor measurement
27	of_reactor	flow reactor
27	has_author	Author 5
27	of_year	2004
27	of_target	IDT
